Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry
MDLZ,Mondelez International Inc,Common Stock,55.19,$78.32B,Consumer Staples,Food Products,Packaged Foods & Meats
GM,General Motors Co,Common Stock,53.6,$75.04B,Consumer Discretionary,Automobiles,Automobile Manufacturers
BDX,Becton Dickinson and Co,Common Stock,256.32,$74.48B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
ILMN,Illumina Inc,Common Stock,504.75,$74.20B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
CB,Chubb Ltd,Common Stock,164.16,$73.99B,Financials,Insurance,Property & Casualty Insurance
FISV,Fiserv Inc.,Common Stock,109.99,$73.73B,Information Technology,IT Services,Data Processing & Outsourced Services
CI,Cigna Corp,Common Stock,206.93,$73.41B,Health Care,Health Care Providers & Services,Health Care Services
TFC,Truist Financial Corp,Common Stock,54.01,$72.86B,Financials,Banks,Regional Banks
MRNA,Moderna Inc,Common Stock,183.81,$72.65B,Health Care,Biotechnology,Biotechnology
ANTM,Anthem Inc,Common Stock,290.68,$72.51B,Health Care,Health Care Providers & Services,Managed Health Care
USB,U.S. Bancorp,Common Stock,47.64,$71.79B,Financials,Banks,Diversified Banks
ADP,Automatic Data Processing Inc,Common Stock,167.03,$71.51B,Information Technology,IT Services,Data Processing & Outsourced Services
ENB,Enbridge Inc,Common Stock,34.57,$70.00B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
FDX,FedEx Corp.,Common Stock,263,$69.69B,Industrials,Air Freight & Logistics,Air Freight & Logistics
DUK,Duke Energy Corp,Common Stock,89.82,$69.07B,Utilities,Electric Utilities,Electric Utilities
PNC,The PNC Financial Services Group Inc,Common Stock,162.27,$68.80B,Financials,Banks,Regional Banks
CSX,CSX Corp,Common Stock,90.13,$68.73B,Industrials,Road & Rail,Railroads
BNS,The Bank of Nova Scotia,Common Stock,55.92,$67.75B,Financials,Banks,Diversified Banks
CL,Colgate-Palmolive Co,Common Stock,78.43,$67.23B,Consumer Staples,Household Products,Household Products
WDAY,Workday Inc,Common Stock,281.36,$67.22B,Information Technology,Software,Application Software
ADSK,Autodesk Inc.,Common Stock,305.07,$67.04B,Information Technology,Software,Application Software
CME,CME Group Inc,Common Stock,184.37,$66.01B,Financials,Capital Markets,Financial Exchanges & Data
TWLO,Twilio Inc,Common Stock,435.29,$65.69B,Information Technology,IT Services,Internet Services & Infrastructure
SHW,Sherwin-Williams Co (The),Common Stock,721.05,$65.49B,Materials,Chemicals,Specialty Chemicals
BAM,Brookfield Asset Management Inc,Common Stock,42.95,$64.95B,Financials,Capital Markets,Asset Management & Custody Banks
