Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry
GBT,Global Blood Therapeutics Inc,Common Stock,48.5,$3.00B,Health Care,Biotechnology,Biotechnology
NSIT,Insight Enterprises Inc,Common Stock,85.22,$2.99B,Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors
IBTX,Independent Bank Group Inc,Common Stock,69.14,$2.98B,Financials,Banks,Regional Banks
NUVA,NuVasive Inc,Common Stock,58.09,$2.98B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
KYMR,Kymera Therapeutics Inc,Common Stock,66.38,$2.98B,Health Care,Biotechnology,Biotechnology
SAVE,Spirit Airlines Inc,Common Stock,30.49,$2.98B,Industrials,Airlines,Airlines
CATY,Cathay General Bancorp,Common Stock,37.46,$2.98B,Financials,Banks,Regional Banks
JW-A,John Wiley & Sons Inc.,Common Stock,53.11,$2.97B,Communication Services,Media,Publishing
BOX,Box Inc,Common Stock,19.09,$2.97B,Information Technology,Software,Application Software
XNCR,Xencor Inc,Common Stock,51.65,$2.96B,Health Care,Biotechnology,Biotechnology
JKS,JinkoSolar Holding Co Ltd,Depository Receipt,65.35,$2.96B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
CCOI,Cogent Communications Holdings Inc,Common Stock,62.38,$2.95B,Communication Services,Diversified Telecommunication Services,Alternative Carriers
ONB,Old National Bancorp,Common Stock,17.85,$2.95B,Financials,Banks,Regional Banks
MEOH,Methanex Corp,Common Stock,38.6,$2.94B,Materials,Chemicals,Commodity Chemicals
CWT,California Water Service Group,Common Stock,58.96,$2.94B,Utilities,Water Utilities,Water Utilities
PING,Ping Identity Holding Corp,Common Stock,36.25,$2.94B,Information Technology,Software,Systems Software
CNX,CNX Resources Corp,Common Stock,13.32,$2.94B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
AWR,American States Water Co,Common Stock,79.51,$2.93B,Utilities,Water Utilities,Water Utilities
GSHD,Goosehead Insurance Inc,Common Stock,167.47,$2.93B,Financials,Insurance,Insurance Brokers
AQUA,Evoqua Water Technologies Corp,Common Stock,24.71,$2.93B,Industrials,Machinery,Industrial Machinery
EXLS,ExlService Holdings Inc,Common Stock,86.02,$2.92B,Information Technology,IT Services,Data Processing & Outsourced Services
ASB,Associated Banc-Corp,Common Stock,18.99,$2.92B,Financials,Banks,Regional Banks
HYFM,Hydrofarm Holdings Group Inc,Common Stock,92.13,$2.92B,Industrials,Machinery,Agricultural & Farm Machinery
ACCD,Accolade Inc,Common Stock,52.77,$2.91B,Health Care,Health Care Technology,Health Care Technology
SFNC,Simmons First National Corp,Common Stock,26.94,$2.91B,Financials,Banks,Regional Banks
GDOT,Green Dot Corp,Common Stock,54.42,$2.91B,Financials,Consumer Finance,Consumer Finance
JW-B,John Wiley & Sons Inc.,Common Stock,51.8467,$2.90B,Communication Services,Media,Publishing
WERN,Werner Enterprises Inc.,Common Stock,42.74,$2.90B,Industrials,Road & Rail,Trucking
ATKR,Atkore International Group Inc,Common Stock,62.24,$2.90B,Industrials,Electrical Equipment,Electrical Components & Equipment
VIE,Viela Bio Inc,Common Stock,52.87,$2.90B,Health Care,Biotechnology,Biotechnology
RCII,Rent-A-Center Inc,Common Stock,53.4,$2.89B,Consumer Discretionary,Specialty Retail,Computer & Electronics Retail
NGVT,Ingevity Corp,Common Stock,69.96,$2.89B,Materials,Chemicals,Specialty Chemicals
CWST,Casella Waste Systems Inc,Common Stock,59.68,$2.89B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services
SMPL,Simply Good Foods Co (The),Common Stock,30.08,$2.88B,Consumer Staples,Food Products,Packaged Foods & Meats
JELD,JELD-WEN Holding Inc,Common Stock,28.55,$2.87B,Industrials,Building Products,Building Products
DY,Dycom Industries Inc.,Common Stock,89.94,$2.87B,Industrials,Construction & Engineering,Construction & Engineering
YQ,17 Education & Technology Group Inc,Depository Receipt,15.4001,$2.87B,Consumer Discretionary,Diversified Consumer Services,Education Services
CYRX,Cryoport Inc,Common Stock,73.49,$2.86B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
CVBF,CVB Financial Corp,Common Stock,21.11,$2.86B,Financials,Banks,Regional Banks
LGF-B,Lions Gate Entertainment Corp,Common Stock,12.93,$2.86B,Communication Services,Entertainment,Movies & Entertainment
PLMR,Palomar Holdings Inc,Common Stock,111.69,$2.85B,Financials,Insurance,Property & Casualty Insurance
NWE,NorthWestern Corp,Common Stock,56.47,$2.85B,Utilities,Multi-Utilities,Multi-Utilities
PDCE,PDC Energy Inc,Common Stock,28.6,$2.85B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
USM,United States Cellular Corp,Common Stock,32.91,$2.83B,Communication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
GPI,Group 1 Automotive Inc.,Common Stock,154.44,$2.83B,Consumer Discretionary,Specialty Retail,Automotive Retail
ARNC,Arconic Corp,Common Stock,25.9,$2.83B,Materials,Metals & Mining,Aluminum
ELY,Callaway Golf Co,Common Stock,29.93,$2.82B,Consumer Discretionary,Leisure Products,Leisure Products
PTVE,Pactiv Evergreen Inc,Common Stock,16.06,$2.82B,Materials,Containers & Packaging,Paper Packaging
TEO,Telecom Argentina SA,Depository Receipt,6.54,$2.82B,Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
DCPH,Deciphera Pharmaceuticals Inc,Common Stock,49.02,$2.82B,Health Care,Biotechnology,Biotechnology
SUM,Summit Materials Inc,Common Stock,24.68,$2.82B,Materials,Construction Materials,Construction Materials
TPIC,TPI Composites Inc,Common Stock,78.73,$2.81B,Industrials,Electrical Equipment,Heavy Electrical Equipment
FHI,Federated Hermes Inc,Common Stock,28.17,$2.80B,Financials,Capital Markets,Asset Management & Custody Banks
AUB,Atlantic Union Bankshares Corp,Common Stock,35.5,$2.79B,Financials,Banks,Regional Banks
UCBI,United Community Banks Inc,Common Stock,32.24,$2.79B,Financials,Banks,Regional Banks
PRMW,Primo Water Corp,Common Stock,17.43,$2.79B,Consumer Staples,Beverages,Soft Drinks
AXSM,Axsome Therapeutics Inc,Common Stock,74.66,$2.79B,Health Care,Pharmaceuticals,Pharmaceuticals
CBT,Cabot Corp,Common Stock,49.09,$2.78B,Materials,Chemicals,Commodity Chemicals
LGND,Ligand Pharmaceuticals Inc,Common Stock,172.41,$2.78B,Health Care,Biotechnology,Biotechnology
MIME,Mimecast Ltd,Common Stock,43.06,$2.77B,Information Technology,Software,Application Software
TTGT,TechTarget Inc,Common Stock,98.77,$2.77B,Communication Services,Media,Advertising
MIC,Macquarie Infrastructure Corp,Common Stock,31.78,$2.77B,Industrials,Transportation Infrastructure,Airport Services
SCL,Stepan Co,Common Stock,123.18,$2.77B,Materials,Chemicals,Specialty Chemicals
THS,TreeHouse Foods Inc,Common Stock,49.44,$2.76B,Consumer Staples,Food Products,Packaged Foods & Meats
TRQ,Turquoise Hill Resources Ltd,Common Stock,13.73,$2.76B,Materials,Metals & Mining,Diversified Metals & Mining
SSYS,Stratasys Ltd,Common Stock,50.12,$2.76B,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
GRWG,GrowGeneration Corp,Common Stock,56.89,$2.76B,Consumer Discretionary,Specialty Retail,Home Improvement Retail
HIMX,Himax Technologies Inc,Depository Receipt,15.84,$2.76B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
EVTC,EVERTEC Inc,Common Stock,38.29,$2.75B,Information Technology,IT Services,Data Processing & Outsourced Services
ABM,ABM Industries Inc,Common Stock,41.24,$2.75B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services
MXL,MaxLinear Inc,Common Stock,37.09,$2.75B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
PSEC,Prospect Capital Corp,Common Stock,7.26,$2.75B,Financials,Capital Markets,Asset Management & Custody Banks
WWW,Wolverine World Wide Inc.,Common Stock,33.46,$2.74B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear
AEL,American Equity Investment Life Holding Co,Common Stock,29.82,$2.74B,Financials,Insurance,Life & Health Insurance
YELP,Yelp Inc,Common Stock,36.97,$2.73B,Communication Services,Interactive Media & Services,Interactive Media & Services
QTRX,Quanterix Corp,Common Stock,86.49,$2.73B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
NNI,Nelnet Inc.,Common Stock,71.23,$2.73B,Financials,Consumer Finance,Consumer Finance
CMPR,Cimpress PLC,Common Stock,104.89,$2.73B,Industrials,Commercial Services & Supplies,Commercial Printing
CENT,Central Garden & Pet Co,Common Stock,49.43,$2.72B,Consumer Staples,Household Products,Household Products
RVLV,Revolve Group Inc,Common Stock,38.74,$2.72B,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
AZUL,Azul SA,Depository Receipt,23.85,$2.72B,Industrials,Airlines,Airlines
ESE,ESCO Technologies Inc.,Common Stock,104.27,$2.71B,Industrials,Machinery,Industrial Machinery
FIBK,First Interstate BancSystem Inc,Common Stock,43.7,$2.71B,Financials,Banks,Regional Banks
COOP,MR Cooper Group Inc,Common Stock,29.87,$2.71B,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
